"","Manager","Manager Position","Person-First Name","Person-LastName","Role- Job Title","Department","Start Date","Summary","Badge","Badge Type","Badge Period","Badge Reason","Badge Granted By","Recognitions","Photo","Vacant","Accent","Nivel","Antigüedad","Reportes directos","Total a cargo"
"15","Andrés Castillo","VP Infrastructure","Catalina","López","Cloud Infrastructure Specialist","Tecnología","2025-02-20","Administra los recursos en la nube y su optimización de costos.","","","","","","","","No","","4","1 año, 6 meses","0","0"
"16","Andrés Castillo","VP Infrastructure","Raúl","Mendez","Database Administrator","Tecnología","2025-12-24","Administra las bases de datos, respaldos y su desempeño.","","","","","","","","No","","4","8 meses","0","0"
"17","Dr. Santiago Rivera","Chief Technology Officer","Isabel","Vargas","VP Security & QA","Tecnología","2022-02-21","Encabeza la seguridad de la información y el aseguramiento de calidad.","","","","","","","","No","#e21c1c","3","4 años, 6 meses","4","4"
"18","Isabel Vargas","VP Security & QA","Javier","Medina","QA Lead","Tecnología","2024-09-06","Asegura la calidad del producto mediante pruebas y automatización.","","","","","","","","No","","4","2 años","0","0"
"19","Isabel Vargas","VP Security & QA","Camila","Flores","Security Specialist","Tecnología","2023-11-20","Protege los sistemas y datos frente a amenazas de seguridad.","","","","","","","","No","","4","2 años, 9 meses","0","0"
"20","Isabel Vargas","VP Security & QA","Diego","Santana","QA Automation Engineer","Tecnología","2023-02-26","Asegura la calidad del producto mediante pruebas y automatización.","","","","","","","","No","","4","3 años, 6 meses","0","0"
"21","Isabel Vargas","VP Security & QA","","","Penetration Tester","Tecnología","","","","","","","","","","Sí","","4","","0","0"
"22","Carlos Mendoza","Chief Executive Officer","Dra. Marcela","Hidalgo","Chief Data Officer","Datos","2022-03-14","Dirige la estrategia de datos e inteligencia artificial: gobierno de datos, analítica y modelos de machine learning.","","","","","","","photos/marcela-hidalgo.png","No","#e2861c","2","4 años, 6 meses","3","13"
"23","Dra. Marcela Hidalgo","Chief Data Officer","Roberto","Silva","Head of Data Engineering","Datos","2019-07-22","Construye y opera las canalizaciones de datos de la compañía.","","","","","","","","No","#e2861c","3","7 años, 1 mes","3","4"
"24","Roberto Silva","Head of Data Engineering","Natalia","Ramos","Senior Data Engineer","Datos","2022-02-23","Construye procesos de ingesta y transformación de datos.","Colaborador Destacado","month","Marzo 2026","Optimizó el pipeline de datos reduciendo los tiempos de carga en 40%","","","","No","","4","4 años, 6 meses","0","0"
"25","Roberto Silva","Head of Data Engineering","Francisco","Ruiz","Data Pipeline Specialist","Datos","2023-10-05","Mantiene las canalizaciones de datos en producción.","","","","","","","","No","","4","2 años, 11 meses","0","0"
"26","Roberto Silva","Head of Data Engineering","Ximena","Vega","ETL Developer","Datos","2025-09-05","Desarrolla los procesos de extracción y carga de información.","","","","","","","","No","","4","1 año","0","0"
"27","Dra. Marcela Hidalgo","Chief Data Officer","Beatriz","Sánchez","Head of Analytics","Datos","2019-04-18","Lidera la analítica de negocio y los tableros para toma de decisiones.","AI Champion","ai","","","","","","No","#e2861c","3","7 años, 4 meses","3","4"
"28","Beatriz Sánchez","Head of Analytics","Felipe","Rosales","Analytics Lead","Datos","2021-03-23","Genera análisis y reportes para las áreas de negocio.","","","","","","","","No","","4","5 años, 5 meses","0","0"
"29","Beatriz Sánchez","Head of Analytics","Mariana","Ruiz","Business Intelligence Analyst","Datos","2024-09-28","Construye tableros e indicadores para el negocio.","","","","","","","","No","","4","1 año, 11 meses","0","0"
"30","Beatriz Sánchez","Head of Analytics","Emilio","Soto","Analytics Specialist","Datos","2022-05-13","Genera análisis y reportes para las áreas de negocio.","","","","","","","","No","","4","4 años, 4 meses","0","0"
"31","Dra. Marcela Hidalgo","Chief Data Officer","Vicente","Morales","Head of Machine Learning","Datos","2020-04-13","Dirige el desarrollo y puesta en producción de modelos de ML.","","","","","","","","No","#e2861c","3","6 años, 5 meses","3","4"
"32","Vicente Morales","Head of Machine Learning","Joaquín","Poblete","ML Engineer Senior","Datos","2021-11-15","Entrena y evalúa modelos de machine learning.","AI Champion","ai","","","","","","No","","4","4 años, 10 meses","0","0"
"33","Vicente Morales","Head of Machine Learning","Carla","Quintanilla","ML Specialist","Datos","2025-02-10","Entrena y evalúa modelos de machine learning.","","","","","","","","No","","4","1 año, 7 meses","0","0"
"34","Vicente Morales","Head of Machine Learning","Rodrigo","Sepúlveda","ML Researcher","Datos","2023-02-25","Entrena y evalúa modelos de machine learning.","","","","","","","","No","","4","3 años, 6 meses","0","0"
"35","Carlos Mendoza","Chief Executive Officer","Claudia","Moreno","Chief Human Resources Officer","RRHH","2019-03-22","Encabeza la estrategia de talento, cultura y desarrollo organizacional.","","","","","","","photos/claudia-moreno.png","No","#ccc619","2","7 años, 5 meses","3","12"
"36","Claudia Moreno","Chief Human Resources Officer","Rodrigo","Núñez","Head of Recruitment","RRHH","2019-09-16","Encabeza la atracción de talento y los procesos de selección.","","","","","","","","No","#ccc619","3","6 años, 11 meses","3","4"
"37","Rodrigo Núñez","Head of Recruitment","Valentina","Araya","Senior Recruiter","RRHH","2024-06-05","Atrae y evalúa candidatos para las vacantes abiertas.","Colaborador Destacado","month","Abril 2026","Redujo el tiempo promedio de contratación en 30% durante el último trimestre","","","","No","","4","2 años, 3 meses","0","0"
"38","Rodrigo Núñez","Head of Recruitment","Pamela","Hidalgo","Talent Acquisition Specialist","RRHH","2022-10-25","Apoya los procesos de atracción y evaluación de talento.","","","","","","","","No","","4","3 años, 10 meses","0","0"
"39","Rodrigo Núñez","Head of Recruitment","Lisandro","Fuentes","Recruitment Coordinator","RRHH","2023-01-26","Da seguimiento operativo a los procesos de selección.","","","","","","","","No","","4","3 años, 7 meses","0","0"
"40","Claudia Moreno","Chief Human Resources Officer","Daniela","Jiménez","Head of People Operations","RRHH","2019-07-24","Administra procesos de personal, nómina y prestaciones.","","","","","","","","No","#ccc619","3","7 años, 1 mes","3","4"
"41","Daniela Jiménez","Head of People Operations","Mauricio","Sanhueza","HR Operations Manager","RRHH","2021-11-19","Ejecuta los procesos administrativos de personal.","","","","","","","","No","","4","4 años, 9 meses","0","0"
"42","Daniela Jiménez","Head of People Operations","Gabriela","Núñez","Benefits Administrator","RRHH","2025-05-27","Administra las prestaciones y beneficios del personal.","","","","","","","","No","","4","1 año, 3 meses","0","0"
"43","Daniela Jiménez","Head of People Operations","Sandra","González","Employee Relations Specialist","RRHH","2024-11-07","Atiende el clima laboral y la relación con colaboradores.","","","","","","","","No","","4","1 año, 10 meses","0","0"
"44","Claudia Moreno","Chief Human Resources Officer","Luis","Contreras","Head of Learning & Development","RRHH","2019-09-23","Diseña los programas de capacitación y desarrollo de carrera.","","","","","","","","No","#ccc619","3","6 años, 11 meses","2","3"
"45","Luis Contreras","Head of Learning & Development","Francisca","Leiva","Training Coordinator","RRHH","2023-07-18","Coordina la logística de los programas de capacitación.","","","","","","","","No","","4","3 años, 1 mes","0","0"
"46","Luis Contreras","Head of Learning & Development","Tomás","Herrera","L&D Specialist","RRHH","2023-10-26","Diseña contenidos y rutas de aprendizaje interno.","","","","","","","","No","","4","2 años, 10 meses","0","0"
"47","Carlos Mendoza","Chief Executive Officer","Jorge","Martínez","Chief Operations Officer","Operaciones","2017-05-09","Responsable de la operación diaria, cadena de suministro y proveedores.","","","","","","","","No","#5dbe17","2","9 años, 4 meses","3","11"
"48","Jorge Martínez","Chief Operations Officer","Lorena","Mendoza","Head of Supply Chain","Operaciones","2022-02-26","Coordina abasto, compras y logística de la operación.","","","","","","","","No","#5dbe17","3","4 años, 6 meses","3","4"
"49","Lorena Mendoza","Head of Supply Chain","Gustavo","Ortiz","Supply Chain Manager","Operaciones","2021-09-22","Planea el abasto y los niveles de inventario.","AI Champion","ai","","","","","","No","","4","4 años, 11 meses","0","0"
"50","Lorena Mendoza","Head of Supply Chain","Carolina","Bravo","Procurement Specialist","Operaciones","2024-02-14","Ejecuta las compras y negociación con proveedores.","","","","","","","","No","","4","2 años, 7 meses","0","0"
"51","Lorena Mendoza","Head of Supply Chain","Silvia","Cardona","Logistics Coordinator","Operaciones","2025-05-16","Coordina el transporte y la distribución de mercancía.","","","","","","","","No","","4","1 año, 3 meses","0","0"
"52","Jorge Martínez","Chief Operations Officer","Fabricio","Patel","Head of Facilities","Operaciones","2020-06-15","Administra las instalaciones, mantenimiento y servicios generales.","","","","","","","","No","#5dbe17","3","6 años, 3 meses","2","3"
"53","Fabricio Patel","Head of Facilities","Constanza","Riquelme","Facilities Manager","Operaciones","2024-06-23","Da mantenimiento y soporte a las instalaciones.","Colaborador Destacado","month","Mayo 2026","Lideró la reorganización de oficinas logrando un ahorro significativo en costos operativos","","","","No","","4","2 años, 2 meses","0","0"
"54","Fabricio Patel","Head of Facilities","Miguel","Arraya","Maintenance Specialist","Operaciones","2025-01-05","Atiende el mantenimiento preventivo y correctivo.","","","","","","","","No","","4","1 año, 8 meses","0","0"
"55","Jorge Martínez","Chief Operations Officer","Pilar","Fuentes","Head of Vendor Management","Operaciones","2021-05-09","Gestiona la relación y desempeño de proveedores estratégicos.","","","","","","","","No","#5dbe17","3","5 años, 4 meses","2","3"
"56","Pilar Fuentes","Head of Vendor Management","Tomás","Herrera","Vendor Manager","Operaciones","2022-10-26","Da seguimiento a contratos y desempeño de proveedores.","","","","","","","","No","","4","3 años, 10 meses","0","0"
"57","Pilar Fuentes","Head of Vendor Management","Carolina","Bravo","Contract Specialist","Operaciones","2024-02-14","Elabora y revisa los contratos con terceros.","","","","","","","","No","","4","2 años, 7 meses","0","0"
"58","Carlos Mendoza","Chief Executive Officer","Fernando","López","Chief Financial Officer","Finanzas","2020-01-20","Responsable de la salud financiera: contabilidad, planeación financiera, tesorería y reporte de resultados.","","","","","","","photos/fernando-lopez.png","No","#17be79","2","6 años, 7 meses","3","12"
"59","Fernando López","Chief Financial Officer","Rocío","García","Head of Accounting","Finanzas","2020-02-02","Responsable del cierre contable y del cumplimiento fiscal.","","","","","","","","No","#17be79","3","6 años, 7 meses","4","4"
"60","Rocío García","Head of Accounting","Julio","Morales","Senior Accountant","Finanzas","2022-08-27","Registra operaciones contables y apoya el cierre mensual.","Colaborador Destacado","month","Junio 2026","Logró el cierre contable más rápido en la historia de la empresa","","","","No","","4","4 años","0","0"
"61","Rocío García","Head of Accounting","Patricia","Zambrano","Accounts Payable Manager","Finanzas","2024-12-11","Gestiona el pago a proveedores y su conciliación.","","","","","","","","No","","4","1 año, 9 meses","0","0"
"62","Rocío García","Head of Accounting","Vicente","Soto","Financial Analyst","Finanzas","2025-06-06","Analiza resultados financieros y variaciones del presupuesto.","","","","","","","","No","","4","1 año, 3 meses","0","0"
"63","Rocío García","Head of Accounting","","","Junior Accountant","Finanzas","","","","","","","","","","Sí","","4","","0","0"
"64","Fernando López","Chief Financial Officer","Marcelo","Díaz","Head of Financial Planning","Finanzas","2020-06-16","Elabora el presupuesto anual y los pronósticos financieros.","","","","","","","","No","#17be79","3","6 años, 2 meses","3","4"
"65","Marcelo Díaz","Head of Financial Planning","Alejandra","Herrera","FP&A Manager","Finanzas","2024-08-11","Modela escenarios financieros y da seguimiento al plan.","","","","","","","","No","","4","2 años, 1 mes","0","0"
"66","Marcelo Díaz","Head of Financial Planning","Roberto","Valencia","Budget Analyst","Finanzas","2022-02-01","Da seguimiento al presupuesto por área y sus desviaciones.","","","","","","","","No","","4","4 años, 7 meses","0","0"
"67","Marcelo Díaz","Head of Financial Planning","Lorena","Pacheco","Finance Analyst","Finanzas","2022-01-13","Prepara reportes financieros para la dirección.","","","","","","","","No","","4","4 años, 8 meses","0","0"
"68","Fernando López","Chief Financial Officer","Ricardo","Flores","Head of Treasury","Finanzas","2020-06-03","Administra el flujo de efectivo, inversiones y relación bancaria.","","","","","","","","No","#17be79","3","6 años, 3 meses","2","3"
"69","Ricardo Flores","Head of Treasury","Daniela","Correa","Treasury Manager","Finanzas","2021-02-08","Administra pagos, cobranza y posición de efectivo.","","","","","","","","No","","4","5 años, 7 meses","0","0"
"70","Ricardo Flores","Head of Treasury","Sergio","Vargas","Cash Management Specialist","Finanzas","2023-02-08","Controla los flujos diarios de efectivo.","","","","","","","","No","","4","3 años, 7 meses","0","0"
"71","Carlos Mendoza","Chief Executive Officer","Andrés","Pérez","Chief Marketing Officer","Marketing","2018-12-01","Define la estrategia de marca, posicionamiento y generación de demanda.","","","","","","","","No","#1cbbe2","2","7 años, 9 meses","3","12"
"72","Andrés Pérez","Chief Marketing Officer","Valeria","Zamora","Head of Product Marketing","Marketing","2022-09-28","Define el posicionamiento y la narrativa de los productos.","AI Champion","ai","","","","","","No","#1cbbe2","3","3 años, 11 meses","3","4"
"73","Valeria Zamora","Head of Product Marketing","Joaquín","López","Product Marketing Manager","Marketing","2023-09-23","Desarrolla mensajes y materiales de producto.","","","","","","","","No","","4","2 años, 11 meses","0","0"
"74","Valeria Zamora","Head of Product Marketing","Carla","Mendez","Marketing Strategist","Marketing","2024-10-16","Planea la estrategia de campañas y canales.","","","","","","","","No","","4","1 año, 10 meses","0","0"
"75","Valeria Zamora","Head of Product Marketing","Fabián","Rojas","Content Specialist","Marketing","2022-02-10","Produce contenidos para los canales de la marca.","","","","","","","","No","","4","4 años, 7 meses","0","0"
"76","Andrés Pérez","Chief Marketing Officer","Ximena","González","Head of Digital Marketing","Marketing","2022-06-18","Dirige las campañas digitales y la adquisición de usuarios.","","","","","","","","No","#1cbbe2","3","4 años, 2 meses","3","4"
"77","Ximena González","Head of Digital Marketing","Rodrigo","Sepúlveda","Digital Marketing Manager","Marketing","2022-02-25","Ejecuta y optimiza las campañas digitales.","","","","","","","","No","","4","4 años, 6 meses","0","0"
"78","Ximena González","Head of Digital Marketing","Patricia","Molina","Social Media Specialist","Marketing","2025-06-02","Administra las redes sociales y la comunidad.","","","","","","","","No","","4","1 año, 3 meses","0","0"
"79","Ximena González","Head of Digital Marketing","Luis","Ibáñez","SEO/SEM Specialist","Marketing","2024-11-27","Optimiza el posicionamiento en buscadores.","","","","","","","","No","","4","1 año, 9 meses","0","0"
"80","Andrés Pérez","Chief Marketing Officer","Natalia","Silva","Head of Brand & Communications","Marketing","2022-04-09","Cuida la identidad de marca y la comunicación institucional.","","","","","","","","No","#1cbbe2","3","4 años, 5 meses","2","3"
"81","Natalia Silva","Head of Brand & Communications","Gabriela","Torres","Communications Manager","Marketing","2022-09-05","Gestiona la comunicación interna y externa.","","","","","","","","No","","4","4 años","0","0"
"82","Natalia Silva","Head of Brand & Communications","Marcelo","Ruiz","Brand Specialist","Marketing","2023-08-06","Cuida la consistencia visual y verbal de la marca.","","","","","","","","No","","4","3 años, 1 mes","0","0"
"83","Carlos Mendoza","Chief Executive Officer","Dr. Hernán","Flores","Chief Legal Officer","Legal","2018-12-19","Encabeza la función legal, contratos y gobierno corporativo.","","","","","","","","No","#256be4","2","7 años, 8 meses","2","8"
"84","Dr. Hernán Flores","Chief Legal Officer","Sofía","Vega","Head of Corporate Law","Legal","2022-05-26","Atiende asuntos corporativos, societarios y contractuales.","","","","","","","","No","#256be4","3","4 años, 3 meses","3","4"
"85","Sofía Vega","Head of Corporate Law","Andrés","Castillo","Corporate Counsel","Legal","2023-08-24","Asesora legalmente a las áreas de negocio.","","","","","","","","No","","4","3 años","0","0"
"86","Sofía Vega","Head of Corporate Law","Valentina","López","Legal Analyst","Legal","2024-11-02","Apoya en investigación y revisión de documentos legales.","","","","","","","","No","","4","1 año, 10 meses","0","0"
"87","Sofía Vega","Head of Corporate Law","Roberto","Núñez","Contracts Attorney","Legal","2023-09-04","Redacta y negocia contratos con clientes y proveedores.","","","","","","","","No","","4","3 años","0","0"
"88","Dr. Hernán Flores","Chief Legal Officer","Javier","Romero","Head of Compliance","Legal","2021-03-06","Vigila el cumplimiento normativo y las políticas internas.","AI Champion","ai","","","","","","No","#256be4","3","5 años, 6 meses","2","3"
"89","Javier Romero","Head of Compliance","Marina","Salazar","Compliance Manager","Legal","2021-08-04","Verifica el cumplimiento de políticas y regulaciones.","","","","","","","","No","","4","5 años, 1 mes","0","0"
"90","Javier Romero","Head of Compliance","Diego","Fuentes","Compliance Analyst","Legal","2024-10-24","Verifica el cumplimiento de políticas y regulaciones.","","","","","","","","No","","4","1 año, 10 meses","0","0"
"91","Carlos Mendoza","Chief Executive Officer","Patricia","Estrada","Chief Risk Officer","Riesgo","2017-07-01","Dirige la gestión integral de riesgos y los controles de la operación.","","","","","","","photos/patricia-estrada.png","No","#4425e4","2","9 años, 2 meses","2","8"
"92","Patricia Estrada","Chief Risk Officer","Francisco","Jara","Head of Enterprise Risk","Riesgo","2021-09-08","Identifica y mitiga los riesgos estratégicos del negocio.","","","","","","","","No","#4425e4","3","5 años","3","4"
"93","Francisco Jara","Head of Enterprise Risk","Isabela","Mendoza","Risk Manager","Riesgo","2022-04-26","Administra la matriz de riesgos y sus planes de acción.","Colaborador Destacado","month","Julio 2026","Identificó y mitigó un riesgo crítico antes de que impactara la operación","","","","No","","4","4 años, 4 meses","0","0"
"94","Francisco Jara","Head of Enterprise Risk","Carlos","Acuña","Risk Analyst","Riesgo","2025-05-13","Analiza indicadores de riesgo y prepara reportes.","","","","","","","","No","","4","1 año, 4 meses","0","0"
"95","Francisco Jara","Head of Enterprise Risk","Verónica","Torres","Risk Assessment Specialist","Riesgo","2022-11-23","Evalúa riesgos en procesos y proyectos nuevos.","","","","","","","","No","","4","3 años, 9 meses","0","0"
"96","Patricia Estrada","Chief Risk Officer","Mauricio","Flores","Head of Operational Risk","Riesgo","2020-04-13","Monitorea los riesgos de la operación y sus controles.","","","","","","","","No","#4425e4","3","6 años, 5 meses","2","3"
"97","Mauricio Flores","Head of Operational Risk","Alejandra","Sánchez","Operations Risk Manager","Riesgo","2021-06-02","Administra la matriz de riesgos y sus planes de acción.","","","","","","","","No","","4","5 años, 3 meses","0","0"
"98","Mauricio Flores","Head of Operational Risk","Rodrigo","Garrido","Risk Analyst","Riesgo","2025-06-21","Analiza indicadores de riesgo y prepara reportes.","","","","","","","","No","","4","1 año, 2 meses","0","0"
"99","Carlos Mendoza","Chief Executive Officer","Elena","Castillo","Chief Sustainability Officer","Sustentabilidad","2019-03-12","Lidera la agenda ESG y los compromisos ambientales de la empresa.","","","","","","","","No","#aa1ce2","2","7 años, 6 meses","2","7"
"100","Elena Castillo","Chief Sustainability Officer","Guillermo","Saldes","Head of ESG Initiatives","Sustentabilidad","2019-03-02","Coordina las iniciativas ambientales, sociales y de gobernanza.","","","","","","","","No","#aa1ce2","3","7 años, 6 meses","2","3"
"101","Guillermo Saldes","Head of ESG Initiatives","Natalia","Parra","ESG Manager","Sustentabilidad","2022-04-16","Da seguimiento a los indicadores ESG de la compañía.","","","","","","","","No","","4","4 años, 4 meses","0","0"
"102","Guillermo Saldes","Head of ESG Initiatives","Javier","Soto","Sustainability Analyst","Sustentabilidad","2022-10-01","Analiza el desempeño ambiental y social de la operación.","","","","","","","","No","","4","3 años, 11 meses","0","0"
"103","Elena Castillo","Chief Sustainability Officer","Rosario","López","Head of Environmental Affairs","Sustentabilidad","2019-06-08","Da seguimiento a los indicadores y permisos ambientales.","","","","","","","","No","#aa1ce2","3","7 años, 3 meses","2","3"
"104","Rosario López","Head of Environmental Affairs","Marcelo","Aguirre","Environmental Coordinator","Sustentabilidad","2025-12-17","Coordina las acciones ambientales y su cumplimiento.","","","","","","","","No","","4","8 meses","0","0"
"105","Rosario López","Head of Environmental Affairs","Laura","Vásquez","Environmental Specialist","Sustentabilidad","2022-01-28","Coordina las acciones ambientales y su cumplimiento.","","","","","","","","No","","4","4 años, 7 meses","0","0"
